call_id,consultant_first_name,member_number,member_full_name,member_mobile,member_email,member_address,call_transcript
51,Michael,65140026,John Patrick Lee,046700 299 784,john.lee@example.com,"823 Elizabeth Street, Brisbane QLD 4000","Agent: Hi, this is Michael from Bricks Health Insurance.
Agent: May I have your mobile number?
Customer: 046700 299 784.
Agent: And your email address, please?
Customer: john.lee@example.com.
Agent: Finally, could you provide your residential address?
Customer: 823 Elizabeth Street, Brisbane QLD 4000.
Agent: Could I please have your Bricks membership number?
Customer: 65140026.
Agent: Could you confirm your full name, please?
Customer: John Patrick Lee.
Agent: Thank you for verifying, John. How can I assist you today?"
52,Olivia,58750364,Luke Rose Johnson,043210 487 271,luke.johnson@example.com,"61 Smith Street, Melbourne VIC 3000","Agent: Hi, this is Olivia from Bricks Health Insurance.
Agent: Could you confirm your full name, please?
Customer: Luke Rose Johnson.
Agent: May I have your mobile number?
Customer: 043210 487 271.
Agent: Could I please have your Bricks membership number?
Customer: 58750364.
Agent: Finally, could you provide your residential address?
Customer: 61 Smith Street, Melbourne VIC 3000.
Agent: And your email address, please?
Customer: luke.johnson@example.com.
Agent: Thank you for verifying, Luke. How can I assist you today?"
53,David,45083317,Charlotte Patrick Brown,046701 657 620,charlotte.brown@example.com,"812 Harbour Road, Hobart TAS 7000","Agent: Hi, this is David from Bricks Health Insurance.
Agent: Could you confirm your full name, please?
Customer: Charlotte Patrick Brown.
Agent: May I have your mobile number?
Customer: 046701 657 620.
Agent: Finally, could you provide your residential address?
Customer: 812 Harbour Road, Hobart TAS 7000.
Agent: Could I please have your Bricks membership number?
Customer: 45083317.
Agent: And your email address, please?
Customer: charlotte.brown@example.com.
Agent: Thank you for verifying, Charlotte. How can I assist you today?"
54,Ava,65656527,Chloe Patrick Thomas,044684 703 199,chloe.thomas@example.com,"473 George Street, Hobart TAS 7000","Agent: Hi, this is Ava from Bricks Health Insurance.
Agent: Finally, could you provide your residential address?
Customer: 473 George Street, Hobart TAS 7000.
Agent: Could I please have your Bricks membership number?
Customer: 65656527.
Agent: Could you confirm your full name, please?
Customer: Chloe Patrick Thomas.
Agent: And your email address, please?
Customer: chloe.thomas@example.com.
Agent: May I have your mobile number?
Customer: 044684 703 199.
Agent: Thank you for verifying, Chloe. How can I assist you today?"
55,Emma,80185426,Ella Marie Anderson,045996 467 777,ella.anderson@example.com,"881 Elizabeth Street, Darwin NT 0800","Agent: Hi, this is Emma from Bricks Health Insurance.
Agent: Could you confirm your full name, please?
Customer: Ella Marie Anderson.
Agent: Finally, could you provide your residential address?
Customer: 881 Elizabeth Street, Darwin NT 0800.
Agent: Could I please have your Bricks membership number?
Customer: 80185426.
Agent: And your email address, please?
Customer: ella.anderson@example.com.
Agent: May I have your mobile number?
Customer: 045996 467 777.
Agent: Thank you for verifying, Ella. How can I assist you today?"
56,Emma,79363986,Daniel Louise Wilson,045960 472 108,daniel.wilson@example.com,"883 Oak Avenue, Brisbane QLD 4000","Agent: Hi, this is Emma from Bricks Health Insurance.
Agent: May I have your mobile number?
Customer: 045960 472 108.
Agent: And your email address, please?
Customer: daniel.wilson@example.com.
Agent: Could you confirm your full name, please?
Customer: Daniel Louise Wilson.
Agent: Could I please have your Bricks membership number?
Customer: 79363986.
Agent: Finally, could you provide your residential address?
Customer: 883 Oak Avenue, Brisbane QLD 4000.
Agent: Thank you for verifying, Daniel. How can I assist you today?"
57,Liam,93343672,Sarah Rose Taylor,042463 571 717,sarah.taylor@example.com,"254 Harbour Road, Canberra ACT 2600","Agent: Hi, this is Liam from Bricks Health Insurance.
Agent: Finally, could you provide your residential address?
Customer: 254 Harbour Road, Canberra ACT 2600.
Agent: May I have your mobile number?
Customer: 042463 571 717.
Agent: And your email address, please?
Customer: sarah.taylor@example.com.
Agent: Could you confirm your full name, please?
Customer: Sarah Rose Taylor.
Agent: Could I please have your Bricks membership number?
Customer: 93343672.
Agent: Thank you for verifying, Sarah. How can I assist you today?"
58,Emily,50573583,Emma Rose White,048834 384 787,emma.white@example.com,"998 Harbour Road, Perth WA 6000","Agent: Hi, this is Emily from Bricks Health Insurance.
Agent: Could you confirm your full name, please?
Customer: Emma Rose White.
Agent: Finally, could you provide your residential address?
Customer: 998 Harbour Road, Perth WA 6000.
Agent: Could I please have your Bricks membership number?
Customer: 50573583.
Agent: May I have your mobile number?
Customer: 048834 384 787.
Agent: And your email address, please?
Customer: emma.white@example.com.
Agent: Thank you for verifying, Emma. How can I assist you today?"
59,David,30263324,Olivia Louise Jackson,046618 109 632,olivia.jackson@example.com,"409 Williams Road, Hobart TAS 7000","Agent: Hi, this is David from Bricks Health Insurance.
Agent: Finally, could you provide your residential address?
Customer: 409 Williams Road, Hobart TAS 7000.
Agent: May I have your mobile number?
Customer: 046618 109 632.
Agent: Could you confirm your full name, please?
Customer: Olivia Louise Jackson.
Agent: And your email address, please?
Customer: olivia.jackson@example.com.
Agent: Could I please have your Bricks membership number?
Customer: 30263324.
Agent: Thank you for verifying, Olivia. How can I assist you today?"
60,Olivia,37191496,Ava Anthony Thomas,049016 640 319,ava.thomas@example.com,"432 Church Street, Darwin NT 0800","Agent: Hi, this is Olivia from Bricks Health Insurance.
Agent: May I have your mobile number?
Customer: 049016 640 319.
Agent: Finally, could you provide your residential address?
Customer: 432 Church Street, Darwin NT 0800.
Agent: Could I please have your Bricks membership number?
Customer: 37191496.
Agent: And your email address, please?
Customer: ava.thomas@example.com.
Agent: Could you confirm your full name, please?
Customer: Ava Anthony Thomas.
Agent: Thank you for verifying, Ava. How can I assist you today?"
61,Emily,61706595,Luke Patrick Wilson,046721 187 424,luke.wilson@example.com,"728 Williams Road, Adelaide SA 5000","Agent: Hi, this is Emily from Bricks Health Insurance.
Agent: May I have your mobile number?
Customer: 046721 187 424.
Agent: Finally, could you provide your residential address?
Customer: 728 Williams Road, Adelaide SA 5000.
Agent: Could I please have your Bricks membership number?
Customer: 61706595.
Agent: Could you confirm your full name, please?
Customer: Luke Patrick Wilson.
Agent: And your email address, please?
Customer: luke.wilson@example.com.
Agent: Thank you for verifying, Luke. How can I assist you today?"
62,James,76538354,Luke Anthony Thomas,045791 665 286,luke.thomas@example.com,"713 Victoria Road, Brisbane QLD 4000","Agent: Hi, this is James from Bricks Health Insurance.
Agent: Could you confirm your full name, please?
Customer: Luke Anthony Thomas.
Agent: And your email address, please?
Customer: luke.thomas@example.com.
Agent: May I have your mobile number?
Customer: 045791 665 286.
Agent: Finally, could you provide your residential address?
Customer: 713 Victoria Road, Brisbane QLD 4000.
Agent: Could I please have your Bricks membership number?
Customer: 76538354.
Agent: Thank you for verifying, Luke. How can I assist you today?"
63,Liam,46121107,Sarah Michael Johnson,044193 214 749,sarah.johnson@example.com,"696 Williams Road, Newcastle NSW 2300","Agent: Hi, this is Liam from Bricks Health Insurance.
Agent: Could I please have your Bricks membership number?
Customer: 46121107.
Agent: May I have your mobile number?
Customer: 044193 214 749.
Agent: Finally, could you provide your residential address?
Customer: 696 Williams Road, Newcastle NSW 2300.
Agent: Could you confirm your full name, please?
Customer: Sarah Michael Johnson.
Agent: And your email address, please?
Customer: sarah.johnson@example.com.
Agent: Thank you for verifying, Sarah. How can I assist you today?"
64,Michael,58395438,Daniel Patrick Jackson,043048 709 284,daniel.jackson@example.com,"243 King Street, Hobart TAS 7000","Agent: Hi, this is Michael from Bricks Health Insurance.
Agent: Could you confirm your full name, please?
Customer: Daniel Patrick Jackson.
Agent: Could I please have your Bricks membership number?
Customer: 58395438.
Agent: Finally, could you provide your residential address?
Customer: 243 King Street, Hobart TAS 7000.
Agent: And your email address, please?
Customer: daniel.jackson@example.com.
Agent: May I have your mobile number?
Customer: 043048 709 284.
Agent: Thank you for verifying, Daniel. How can I assist you today?"
65,Olivia,25622642,Mia Jane Brown,042921 878 516,mia.brown@example.com,"243 Oak Avenue, Darwin NT 0800","Agent: Hi, this is Olivia from Bricks Health Insurance.
Agent: May I have your mobile number?
Customer: 042921 878 516.
Agent: And your email address, please?
Customer: mia.brown@example.com.
Agent: Could I please have your Bricks membership number?
Customer: 25622642.
Agent: Finally, could you provide your residential address?
Customer: 243 Oak Avenue, Darwin NT 0800.
Agent: Could you confirm your full name, please?
Customer: Mia Jane Brown.
Agent: Thank you for verifying, Mia. How can I assist you today?"
66,David,44292830,Luke Patrick Smith,048173 515 255,luke.smith@example.com,"132 Smith Street, Melbourne VIC 3000","Agent: Hi, this is David from Bricks Health Insurance.
Agent: Finally, could you provide your residential address?
Customer: 132 Smith Street, Melbourne VIC 3000.
Agent: Could I please have your Bricks membership number?
Customer: 44292830.
Agent: Could you confirm your full name, please?
Customer: Luke Patrick Smith.
Agent: And your email address, please?
Customer: luke.smith@example.com.
Agent: May I have your mobile number?
Customer: 048173 515 255.
Agent: Thank you for verifying, Luke. How can I assist you today?"
67,Emily,66146815,James Marie Wilson,041463 649 153,james.wilson@example.com,"234 George Street, Melbourne VIC 3000","Agent: Hi, this is Emily from Bricks Health Insurance.
Agent: And your email address, please?
Customer: james.wilson@example.com.
Agent: Could you confirm your full name, please?
Customer: James Marie Wilson.
Agent: Could I please have your Bricks membership number?
Customer: 66146815.
Agent: Finally, could you provide your residential address?
Customer: 234 George Street, Melbourne VIC 3000.
Agent: May I have your mobile number?
Customer: 041463 649 153.
Agent: Thank you for verifying, James. How can I assist you today?"
68,Emily,93795152,Charlotte Louise Anderson,049897 617 755,charlotte.anderson@example.com,"649 George Street, Darwin NT 0800","Agent: Hi, this is Emily from Bricks Health Insurance.
Agent: May I have your mobile number?
Customer: 049897 617 755.
Agent: And your email address, please?
Customer: charlotte.anderson@example.com.
Agent: Could you confirm your full name, please?
Customer: Charlotte Louise Anderson.
Agent: Finally, could you provide your residential address?
Customer: 649 George Street, Darwin NT 0800.
Agent: Could I please have your Bricks membership number?
Customer: 93795152.
Agent: Thank you for verifying, Charlotte. How can I assist you today?"
69,Olivia,33401957,Thomas James Johnson,042259 291 626,thomas.johnson@example.com,"667 Williams Road, Canberra ACT 2600","Agent: Hi, this is Olivia from Bricks Health Insurance.
Agent: May I have your mobile number?
Customer: 042259 291 626.
Agent: Finally, could you provide your residential address?
Customer: 667 Williams Road, Canberra ACT 2600.
Agent: Could you confirm your full name, please?
Customer: Thomas James Johnson.
Agent: And your email address, please?
Customer: thomas.johnson@example.com.
Agent: Could I please have your Bricks membership number?
Customer: 33401957.
Agent: Thank you for verifying, Thomas. How can I assist you today?"
70,Ava,56014981,Ava Michael Taylor,042285 817 432,ava.taylor@example.com,"330 Victoria Road, Perth WA 6000","Agent: Hi, this is Ava from Bricks Health Insurance.
Agent: May I have your mobile number?
Customer: 042285 817 432.
Agent: And your email address, please?
Customer: ava.taylor@example.com.
Agent: Could you confirm your full name, please?
Customer: Ava Michael Taylor.
Agent: Could I please have your Bricks membership number?
Customer: 56014981.
Agent: Finally, could you provide your residential address?
Customer: 330 Victoria Road, Perth WA 6000.
Agent: Thank you for verifying, Ava. How can I assist you today?"
71,James,96961359,Ella Patrick Wilson,044701 480 783,ella.wilson@example.com,"327 Victoria Road, Darwin NT 0800","Agent: Hi, this is James from Bricks Health Insurance.
Agent: Could you confirm your full name, please?
Customer: Ella Patrick Wilson.
Agent: And your email address, please?
Customer: ella.wilson@example.com.
Agent: Finally, could you provide your residential address?
Customer: 327 Victoria Road, Darwin NT 0800.
Agent: Could I please have your Bricks membership number?
Customer: 96961359.
Agent: May I have your mobile number?
Customer: 044701 480 783.
Agent: Thank you for verifying, Ella. How can I assist you today?"
72,Emily,95344390,Ava James Smith,044861 298 988,ava.smith@example.com,"619 Pine Street, Gold Coast QLD 4217","Agent: Hi, this is Emily from Bricks Health Insurance.
Agent: Could you confirm your full name, please?
Customer: Ava James Smith.
Agent: Finally, could you provide your residential address?
Customer: 619 Pine Street, Gold Coast QLD 4217.
Agent: And your email address, please?
Customer: ava.smith@example.com.
Agent: Could I please have your Bricks membership number?
Customer: 95344390.
Agent: May I have your mobile number?
Customer: 044861 298 988.
Agent: Thank you for verifying, Ava. How can I assist you today?"
73,Michael,47728090,Samuel Michael Smith,046736 499 412,samuel.smith@example.com,"691 Williams Road, Sydney NSW 2000","Agent: Hi, this is Michael from Bricks Health Insurance.
Agent: Could I please have your Bricks membership number?
Customer: 47728090.
Agent: Finally, could you provide your residential address?
Customer: 691 Williams Road, Sydney NSW 2000.
Agent: Could you confirm your full name, please?
Customer: Samuel Michael Smith.
Agent: And your email address, please?
Customer: samuel.smith@example.com.
Agent: May I have your mobile number?
Customer: 046736 499 412.
Agent: Thank you for verifying, Samuel. How can I assist you today?"
74,Olivia,94916561,Olivia Andrew Taylor,047832 921 523,olivia.taylor@example.com,"152 Pine Street, Canberra ACT 2600","Agent: Hi, this is Olivia from Bricks Health Insurance.
Agent: Could you confirm your full name, please?
Customer: Olivia Andrew Taylor.
Agent: Finally, could you provide your residential address?
Customer: 152 Pine Street, Canberra ACT 2600.
Agent: Could I please have your Bricks membership number?
Customer: 94916561.
Agent: And your email address, please?
Customer: olivia.taylor@example.com.
Agent: May I have your mobile number?
Customer: 047832 921 523.
Agent: Thank you for verifying, Olivia. How can I assist you today?"
75,Liam,44898569,Sophia Rose Wilson,049624 180 885,sophia.wilson@example.com,"22 Elizabeth Street, Newcastle NSW 2300","Agent: Hi, this is Liam from Bricks Health Insurance.
Agent: Could you confirm your full name, please?
Customer: Sophia Rose Wilson.
Agent: Finally, could you provide your residential address?
Customer: 22 Elizabeth Street, Newcastle NSW 2300.
Agent: And your email address, please?
Customer: sophia.wilson@example.com.
Agent: May I have your mobile number?
Customer: 049624 180 885.
Agent: Could I please have your Bricks membership number?
Customer: 44898569.
Agent: Thank you for verifying, Sophia. How can I assist you today?"
76,Emma,87560488,John Patrick Jackson,042041 885 814,john.jackson@example.com,"706 Smith Street, Darwin NT 0800","Agent: Hi, this is Emma from Bricks Health Insurance.
Agent: And your email address, please?
Customer: john.jackson@example.com.
Agent: Could I please have your Bricks membership number?
Customer: 87560488.
Agent: Finally, could you provide your residential address?
Customer: 706 Smith Street, Darwin NT 0800.
Agent: May I have your mobile number?
Customer: 042041 885 814.
Agent: Could you confirm your full name, please?
Customer: John Patrick Jackson.
Agent: Thank you for verifying, John. How can I assist you today?"
77,Noah,14060219,Liam Andrew Smith,047337 552 438,liam.smith@example.com,"974 Pine Street, Brisbane QLD 4000","Agent: Hi, this is Noah from Bricks Health Insurance.
Agent: May I have your mobile number?
Customer: 047337 552 438.
Agent: Finally, could you provide your residential address?
Customer: 974 Pine Street, Brisbane QLD 4000.
Agent: Could you confirm your full name, please?
Customer: Liam Andrew Smith.
Agent: Could I please have your Bricks membership number?
Customer: 14060219.
Agent: And your email address, please?
Customer: liam.smith@example.com.
Agent: Thank you for verifying, Liam. How can I assist you today?"
78,Liam,28644349,Sophia Elizabeth Brown,046791 752 390,sophia.brown@example.com,"930 Harbour Road, Brisbane QLD 4000","Agent: Hi, this is Liam from Bricks Health Insurance.
Agent: Could you confirm your full name, please?
Customer: Sophia Elizabeth Brown.
Agent: May I have your mobile number?
Customer: 046791 752 390.
Agent: And your email address, please?
Customer: sophia.brown@example.com.
Agent: Could I please have your Bricks membership number?
Customer: 28644349.
Agent: Finally, could you provide your residential address?
Customer: 930 Harbour Road, Brisbane QLD 4000.
Agent: Thank you for verifying, Sophia. How can I assist you today?"
79,Ava,65528889,Chloe Anthony Jackson,049310 670 600,chloe.jackson@example.com,"992 Pine Street, Hobart TAS 7000","Agent: Hi, this is Ava from Bricks Health Insurance.
Agent: May I have your mobile number?
Customer: 049310 670 600.
Agent: Could I please have your Bricks membership number?
Customer: 65528889.
Agent: Finally, could you provide your residential address?
Customer: 992 Pine Street, Hobart TAS 7000.
Agent: And your email address, please?
Customer: chloe.jackson@example.com.
Agent: Could you confirm your full name, please?
Customer: Chloe Anthony Jackson.
Agent: Thank you for verifying, Chloe. How can I assist you today?"
80,Liam,19840381,Mia Louise Jackson,049407 923 326,mia.jackson@example.com,"960 Pine Street, Sydney NSW 2000","Agent: Hi, this is Liam from Bricks Health Insurance.
Agent: May I have your mobile number?
Customer: 049407 923 326.
Agent: And your email address, please?
Customer: mia.jackson@example.com.
Agent: Could I please have your Bricks membership number?
Customer: 19840381.
Agent: Finally, could you provide your residential address?
Customer: 960 Pine Street, Sydney NSW 2000.
Agent: Could you confirm your full name, please?
Customer: Mia Louise Jackson.
Agent: Thank you for verifying, Mia. How can I assist you today?"
81,Noah,63365176,Emma Jane White,043351 800 150,emma.white@example.com,"420 George Street, Hobart TAS 7000","Agent: Hi, this is Noah from Bricks Health Insurance.
Agent: Finally, could you provide your residential address?
Customer: 420 George Street, Hobart TAS 7000.
Agent: And your email address, please?
Customer: emma.white@example.com.
Agent: Could I please have your Bricks membership number?
Customer: 63365176.
Agent: May I have your mobile number?
Customer: 043351 800 150.
Agent: Could you confirm your full name, please?
Customer: Emma Jane White.
Agent: Thank you for verifying, Emma. How can I assist you today?"
82,Ava,83825567,Thomas Elizabeth Thomas,046882 729 266,thomas.thomas@example.com,"496 Victoria Road, Brisbane QLD 4000","Agent: Hi, this is Ava from Bricks Health Insurance.
Agent: And your email address, please?
Customer: thomas.thomas@example.com.
Agent: Finally, could you provide your residential address?
Customer: 496 Victoria Road, Brisbane QLD 4000.
Agent: May I have your mobile number?
Customer: 046882 729 266.
Agent: Could you confirm your full name, please?
Customer: Thomas Elizabeth Thomas.
Agent: Could I please have your Bricks membership number?
Customer: 83825567.
Agent: Thank you for verifying, Thomas. How can I assist you today?"
83,Emma,30513238,Sophia Anthony White,045964 991 237,sophia.white@example.com,"196 Elizabeth Street, Brisbane QLD 4000","Agent: Hi, this is Emma from Bricks Health Insurance.
Agent: Could you confirm your full name, please?
Customer: Sophia Anthony White.
Agent: And your email address, please?
Customer: sophia.white@example.com.
Agent: Could I please have your Bricks membership number?
Customer: 30513238.
Agent: May I have your mobile number?
Customer: 045964 991 237.
Agent: Finally, could you provide your residential address?
Customer: 196 Elizabeth Street, Brisbane QLD 4000.
Agent: Thank you for verifying, Sophia. How can I assist you today?"
84,Olivia,60859271,Grace Marie Smith,049433 899 131,grace.smith@example.com,"505 Elizabeth Street, Newcastle NSW 2300","Agent: Hi, this is Olivia from Bricks Health Insurance.
Agent: May I have your mobile number?
Customer: 049433 899 131.
Agent: Could I please have your Bricks membership number?
Customer: 60859271.
Agent: And your email address, please?
Customer: grace.smith@example.com.
Agent: Finally, could you provide your residential address?
Customer: 505 Elizabeth Street, Newcastle NSW 2300.
Agent: Could you confirm your full name, please?
Customer: Grace Marie Smith.
Agent: Thank you for verifying, Grace. How can I assist you today?"
85,Emma,22829757,Mark Michael Taylor,048504 592 181,mark.taylor@example.com,"92 Smith Street, Darwin NT 0800","Agent: Hi, this is Emma from Bricks Health Insurance.
Agent: May I have your mobile number?
Customer: 048504 592 181.
Agent: Could you confirm your full name, please?
Customer: Mark Michael Taylor.
Agent: Finally, could you provide your residential address?
Customer: 92 Smith Street, Darwin NT 0800.
Agent: Could I please have your Bricks membership number?
Customer: 22829757.
Agent: And your email address, please?
Customer: mark.taylor@example.com.
Agent: Thank you for verifying, Mark. How can I assist you today?"
86,Michael,84495149,Sophia Louise Johnson,043885 735 614,sophia.johnson@example.com,"258 Elizabeth Street, Adelaide SA 5000","Agent: Hi, this is Michael from Bricks Health Insurance.
Agent: Could I please have your Bricks membership number?
Customer: 84495149.
Agent: May I have your mobile number?
Customer: 043885 735 614.
Agent: Finally, could you provide your residential address?
Customer: 258 Elizabeth Street, Adelaide SA 5000.
Agent: Could you confirm your full name, please?
Customer: Sophia Louise Johnson.
Agent: And your email address, please?
Customer: sophia.johnson@example.com.
Agent: Thank you for verifying, Sophia. How can I assist you today?"
87,James,48520151,Grace Louise White,042434 480 515,grace.white@example.com,"159 Pine Street, Newcastle NSW 2300","Agent: Hi, this is James from Bricks Health Insurance.
Agent: Finally, could you provide your residential address?
Customer: 159 Pine Street, Newcastle NSW 2300.
Agent: Could I please have your Bricks membership number?
Customer: 48520151.
Agent: And your email address, please?
Customer: grace.white@example.com.
Agent: May I have your mobile number?
Customer: 042434 480 515.
Agent: Could you confirm your full name, please?
Customer: Grace Louise White.
Agent: Thank you for verifying, Grace. How can I assist you today?"
88,Liam,84206697,Ella Michael Jackson,043390 409 349,ella.jackson@example.com,"214 Harbour Road, Perth WA 6000","Agent: Hi, this is Liam from Bricks Health Insurance.
Agent: And your email address, please?
Customer: ella.jackson@example.com.
Agent: Could you confirm your full name, please?
Customer: Ella Michael Jackson.
Agent: Could I please have your Bricks membership number?
Customer: 84206697.
Agent: May I have your mobile number?
Customer: 043390 409 349.
Agent: Finally, could you provide your residential address?
Customer: 214 Harbour Road, Perth WA 6000.
Agent: Thank you for verifying, Ella. How can I assist you today?"
89,Liam,14044926,Chloe Michael Jackson,046505 364 542,chloe.jackson@example.com,"557 Harbour Road, Darwin NT 0800","Agent: Hi, this is Liam from Bricks Health Insurance.
Agent: Finally, could you provide your residential address?
Customer: 557 Harbour Road, Darwin NT 0800.
Agent: May I have your mobile number?
Customer: 046505 364 542.
Agent: And your email address, please?
Customer: chloe.jackson@example.com.
Agent: Could I please have your Bricks membership number?
Customer: 14044926.
Agent: Could you confirm your full name, please?
Customer: Chloe Michael Jackson.
Agent: Thank you for verifying, Chloe. How can I assist you today?"
90,Emma,62400790,Ella Rose Johnson,045397 595 131,ella.johnson@example.com,"675 Oak Avenue, Sydney NSW 2000","Agent: Hi, this is Emma from Bricks Health Insurance.
Agent: May I have your mobile number?
Customer: 045397 595 131.
Agent: And your email address, please?
Customer: ella.johnson@example.com.
Agent: Could you confirm your full name, please?
Customer: Ella Rose Johnson.
Agent: Could I please have your Bricks membership number?
Customer: 62400790.
Agent: Finally, could you provide your residential address?
Customer: 675 Oak Avenue, Sydney NSW 2000.
Agent: Thank you for verifying, Ella. How can I assist you today?"
91,Noah,69793888,Sarah Michael Smith,045829 139 598,sarah.smith@example.com,"8 Victoria Road, Melbourne VIC 3000","Agent: Hi, this is Noah from Bricks Health Insurance.
Agent: Finally, could you provide your residential address?
Customer: 8 Victoria Road, Melbourne VIC 3000.
Agent: Could you confirm your full name, please?
Customer: Sarah Michael Smith.
Agent: And your email address, please?
Customer: sarah.smith@example.com.
Agent: May I have your mobile number?
Customer: 045829 139 598.
Agent: Could I please have your Bricks membership number?
Customer: 69793888.
Agent: Thank you for verifying, Sarah. How can I assist you today?"
92,Emma,62998059,Daniel Rose Brown,046989 176 660,daniel.brown@example.com,"674 Oak Avenue, Hobart TAS 7000","Agent: Hi, this is Emma from Bricks Health Insurance.
Agent: May I have your mobile number?
Customer: 046989 176 660.
Agent: And your email address, please?
Customer: daniel.brown@example.com.
Agent: Could you confirm your full name, please?
Customer: Daniel Rose Brown.
Agent: Finally, could you provide your residential address?
Customer: 674 Oak Avenue, Hobart TAS 7000.
Agent: Could I please have your Bricks membership number?
Customer: 62998059.
Agent: Thank you for verifying, Daniel. How can I assist you today?"
93,Ava,44206284,Chloe Anthony Taylor,041016 685 877,chloe.taylor@example.com,"123 King Street, Brisbane QLD 4000","Agent: Hi, this is Ava from Bricks Health Insurance.
Agent: Could I please have your Bricks membership number?
Customer: 44206284.
Agent: And your email address, please?
Customer: chloe.taylor@example.com.
Agent: Could you confirm your full name, please?
Customer: Chloe Anthony Taylor.
Agent: Finally, could you provide your residential address?
Customer: 123 King Street, Brisbane QLD 4000.
Agent: May I have your mobile number?
Customer: 041016 685 877.
Agent: Thank you for verifying, Chloe. How can I assist you today?"
94,Ava,95924617,Ella Michael Wilson,041648 996 374,ella.wilson@example.com,"34 Church Street, Adelaide SA 5000","Agent: Hi, this is Ava from Bricks Health Insurance.
Agent: May I have your mobile number?
Customer: 041648 996 374.
Agent: And your email address, please?
Customer: ella.wilson@example.com.
Agent: Could I please have your Bricks membership number?
Customer: 95924617.
Agent: Finally, could you provide your residential address?
Customer: 34 Church Street, Adelaide SA 5000.
Agent: Could you confirm your full name, please?
Customer: Ella Michael Wilson.
Agent: Thank you for verifying, Ella. How can I assist you today?"
95,James,49977546,Olivia Louise Smith,046703 170 674,olivia.smith@example.com,"498 Victoria Road, Perth WA 6000","Agent: Hi, this is James from Bricks Health Insurance.
Agent: Could you confirm your full name, please?
Customer: Olivia Louise Smith.
Agent: Could I please have your Bricks membership number?
Customer: 49977546.
Agent: May I have your mobile number?
Customer: 046703 170 674.
Agent: Finally, could you provide your residential address?
Customer: 498 Victoria Road, Perth WA 6000.
Agent: And your email address, please?
Customer: olivia.smith@example.com.
Agent: Thank you for verifying, Olivia. How can I assist you today?"
96,Michael,62326268,David Jane Jackson,042748 225 848,david.jackson@example.com,"604 Victoria Road, Melbourne VIC 3000","Agent: Hi, this is Michael from Bricks Health Insurance.
Agent: May I have your mobile number?
Customer: 042748 225 848.
Agent: Could I please have your Bricks membership number?
Customer: 62326268.
Agent: And your email address, please?
Customer: david.jackson@example.com.
Agent: Finally, could you provide your residential address?
Customer: 604 Victoria Road, Melbourne VIC 3000.
Agent: Could you confirm your full name, please?
Customer: David Jane Jackson.
Agent: Thank you for verifying, David. How can I assist you today?"
97,Liam,49157811,Thomas Patrick Johnson,043187 302 562,thomas.johnson@example.com,"745 Smith Street, Perth WA 6000","Agent: Hi, this is Liam from Bricks Health Insurance.
Agent: May I have your mobile number?
Customer: 043187 302 562.
Agent: Finally, could you provide your residential address?
Customer: 745 Smith Street, Perth WA 6000.
Agent: Could I please have your Bricks membership number?
Customer: 49157811.
Agent: And your email address, please?
Customer: thomas.johnson@example.com.
Agent: Could you confirm your full name, please?
Customer: Thomas Patrick Johnson.
Agent: Thank you for verifying, Thomas. How can I assist you today?"
98,Sarah,89145681,Henry Jane Johnson,042608 289 802,henry.johnson@example.com,"296 Victoria Road, Perth WA 6000","Agent: Hi, this is Sarah from Bricks Health Insurance.
Agent: May I have your mobile number?
Customer: 042608 289 802.
Agent: And your email address, please?
Customer: henry.johnson@example.com.
Agent: Could you confirm your full name, please?
Customer: Henry Jane Johnson.
Agent: Could I please have your Bricks membership number?
Customer: 89145681.
Agent: Finally, could you provide your residential address?
Customer: 296 Victoria Road, Perth WA 6000.
Agent: Thank you for verifying, Henry. How can I assist you today?"
99,James,98345291,Ella Marie Taylor,042006 843 674,ella.taylor@example.com,"948 Harbour Road, Sydney NSW 2000","Agent: Hi, this is James from Bricks Health Insurance.
Agent: May I have your mobile number?
Customer: 042006 843 674.
Agent: Could you confirm your full name, please?
Customer: Ella Marie Taylor.
Agent: Could I please have your Bricks membership number?
Customer: 98345291.
Agent: Finally, could you provide your residential address?
Customer: 948 Harbour Road, Sydney NSW 2000.
Agent: And your email address, please?
Customer: ella.taylor@example.com.
Agent: Thank you for verifying, Ella. How can I assist you today?"
100,James,56731377,Daniel Andrew Smith,044626 482 461,daniel.smith@example.com,"598 King Street, Brisbane QLD 4000","Agent: Hi, this is James from Bricks Health Insurance.
Agent: Finally, could you provide your residential address?
Customer: 598 King Street, Brisbane QLD 4000.
Agent: Could I please have your Bricks membership number?
Customer: 56731377.
Agent: Could you confirm your full name, please?
Customer: Daniel Andrew Smith.
Agent: May I have your mobile number?
Customer: 044626 482 461.
Agent: And your email address, please?
Customer: daniel.smith@example.com.
Agent: Thank you for verifying, Daniel. How can I assist you today?"
